Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
NewLearningBrain,0.275,1.448,0.340,585,nan
NewLearningBrain,0.250,2.029,0.291,585,nan
NewLearningBrain,0.050,2.950,0.841,111,0.855
NewLearningBrain,0.181,3.179,0.042,455,nan
NewLearningBrain,0.055,3.506,0.231,139,1.413
NewLearningBrain,0.060,3.636,0.065,130,nan
NewLearningBrain,0.127,3.803,0.037,260,nan
NewLearningBrain,0.066,4.122,0.217,130,nan
NewLearningBrain,0.051,4.226,0.048,130,nan
NewLearningBrain,0.132,4.414,0.050,325,nan
NewLearningBrain,0.052,4.750,0.245,131,-6.740
NewLearningBrain,0.044,4.837,0.036,110,-0.550
NewLearningBrain,0.051,4.910,0.021,130,nan
NewLearningBrain,0.082,5.031,0.033,195,nan
NewLearningBrain,0.056,5.341,0.224,130,nan
NewLearningBrain,0.054,5.444,0.044,130,nan
NewLearningBrain,0.053,5.520,0.019,130,nan
NewLearningBrain,0.077,5.637,0.035,195,nan
NewLearningBrain,0.067,5.936,0.198,165,-3.633
NewLearningBrain,0.048,6.034,0.045,116,-4.940
NewLearningBrain,0.055,6.112,0.021,130,nan
NewLearningBrain,0.055,6.272,0.088,130,nan
NewLearningBrain,0.052,6.393,0.058,122,-1.315
NewLearningBrain,0.056,6.564,0.097,130,nan
NewLearningBrain,0.055,6.660,0.034,130,nan
NewLearningBrain,0.055,6.855,0.121,130,nan
NewLearningBrain,0.042,6.957,0.051,101,-6.390
NewLearningBrain,0.054,7.030,0.016,130,nan
NewLearningBrain,0.061,7.220,0.110,130,nan
NewLearningBrain,0.061,7.320,0.031,130,nan
NewLearningBrain,0.055,7.532,0.134,130,nan
NewLearningBrain,0.088,7.661,0.037,195,nan
NewLearningBrain,0.039,7.812,0.095,108,-6.970
NewLearningBrain,0.061,7.938,0.056,156,0.560
NewLearningBrain,0.056,8.132,0.120,130,nan
NewLearningBrain,0.056,8.227,0.034,130,nan
NewLearningBrain,0.041,8.286,0.016,103,1.330
NewLearningBrain,0.048,8.490,0.135,116,1.460
NewLearningBrain,0.054,8.668,0.102,130,4.850
NewLearningBrain,0.054,8.781,0.049,130,nan
NewLearningBrain,0.055,8.864,0.024,130,nan
NewLearningBrain,0.056,8.943,0.020,130,nan
NewLearningBrain,0.056,9.151,0.130,130,nan
NewLearningBrain,0.060,9.354,0.122,130,nan
NewLearningBrain,0.059,9.455,0.037,130,nan
NewLearningBrain,0.062,9.536,0.016,130,nan
NewLearningBrain,0.051,9.703,0.104,130,nan
NewLearningBrain,0.039,9.774,0.026,102,-5.730
NewLearningBrain,0.046,9.950,0.115,114,-5.610
NewLearningBrain,0.054,10.051,0.042,130,nan
NewLearningBrain,0.053,10.127,0.019,130,nan
NewLearningBrain,0.060,10.322,0.116,140,-6.000
NewLearningBrain,0.056,10.401,0.020,130,nan
NewLearningBrain,0.055,10.631,0.147,130,nan
NewLearningBrain,0.053,10.765,0.022,130,nan
NewLearningBrain,0.056,10.928,0.096,130,nan
NewLearningBrain,0.055,11.026,0.039,130,nan
NewLearningBrain,0.055,11.198,0.102,130,nan
NewLearningBrain,0.056,11.307,0.046,130,nan
NewLearningBrain,0.056,11.403,0.039,130,nan
NewLearningBrain,0.055,11.580,0.110,130,nan
NewLearningBrain,0.043,11.641,0.017,105,3.950
NewLearningBrain,0.063,11.854,0.123,157,-5.965
NewLearningBrain,0.055,11.949,0.034,130,nan
NewLearningBrain,0.049,12.057,0.050,121,-6.795
NewLearningBrain,0.057,12.203,0.080,147,-7.880
NewLearningBrain,0.044,12.316,0.063,107,-5.680
NewLearningBrain,0.050,12.477,0.097,115,-2.975
NewLearningBrain,0.048,12.563,0.032,118,-0.470
NewLearningBrain,0.044,12.661,0.044,102,-7.030
NewLearningBrain,0.053,12.871,0.137,130,nan
NewLearningBrain,0.054,13.014,0.080,130,nan
NewLearningBrain,0.056,13.104,0.029,130,nan
NewLearningBrain,0.056,13.209,0.041,130,nan
NewLearningBrain,0.055,13.393,0.108,130,nan
NewLearningBrain,0.055,13.528,0.070,130,nan
NewLearningBrain,0.065,13.671,0.064,159,-7.760
NewLearningBrain,0.056,13.771,0.037,135,-8.000
NewLearningBrain,0.059,13.864,0.031,124,-8.110
NewLearningBrain,0.059,14.095,0.147,145,-5.650
NewLearningBrain,0.059,14.241,0.074,147,-5.643
NewLearningBrain,0.054,14.339,0.039,130,nan
NewLearningBrain,0.057,14.432,0.031,130,nan
NewLearningBrain,0.070,14.699,0.170,126,-7.745
NewLearningBrain,0.076,14.821,0.039,130,nan
NewLearningBrain,0.078,14.967,0.058,130,nan
NewLearningBrain,0.067,15.110,0.066,160,-0.700
NewLearningBrain,0.059,15.335,0.154,130,nan
NewLearningBrain,0.057,15.445,0.048,130,nan
NewLearningBrain,0.053,15.557,0.053,130,nan
NewLearningBrain,0.053,15.650,0.035,130,nan
NewLearningBrain,0.053,15.757,0.044,130,nan
NewLearningBrain,0.089,16.029,0.161,214,-7.630
NewLearningBrain,0.055,16.147,0.056,130,nan
NewLearningBrain,0.042,16.263,0.067,103,-7.860
NewLearningBrain,0.054,16.356,0.033,130,nan
NewLearningBrain,0.062,16.546,0.106,150,-7.625
NewLearningBrain,0.046,16.718,0.107,115,-6.900
NewLearningBrain,0.048,16.800,0.029,116,-7.540
NewLearningBrain,0.056,16.889,0.029,130,nan
NewLearningBrain,0.055,17.092,0.129,113,-4.285
NewLearningBrain,0.055,17.191,0.039,130,nan
NewLearningBrain,0.056,17.375,0.108,130,nan
NewLearningBrain,0.056,17.490,0.049,130,nan
NewLearningBrain,0.055,17.640,0.080,130,nan
NewLearningBrain,0.064,17.732,0.024,130,nan
NewLearningBrain,0.061,17.910,0.100,130,nan
NewLearningBrain,0.061,18.095,0.104,150,-7.850
NewLearningBrain,0.056,18.228,0.066,147,-0.830
NewLearningBrain,0.088,18.366,0.043,216,-7.840
NewLearningBrain,0.043,18.514,0.088,108,-7.620
NewLearningBrain,0.065,18.710,0.114,158,-7.523
NewLearningBrain,0.046,18.774,0.016,111,-0.540
NewLearningBrain,0.055,18.933,0.090,130,nan
NewLearningBrain,0.043,19.086,0.091,108,-7.620
NewLearningBrain,0.082,19.298,0.113,195,nan
NewLearningBrain,0.056,19.367,0.012,130,nan
NewLearningBrain,0.046,19.472,0.050,115,-7.550
NewLearningBrain,0.067,19.698,0.134,162,-2.195
NewLearningBrain,0.064,19.878,0.099,156,-0.740
NewLearningBrain,0.055,19.947,0.013,130,nan
NewLearningBrain,0.069,20.187,0.123,130,nan
NewLearningBrain,0.064,20.352,0.095,130,nan
NewLearningBrain,0.055,20.429,0.022,130,nan
NewLearningBrain,0.079,20.612,0.094,195,nan
NewLearningBrain,0.054,20.784,0.107,130,nan
NewLearningBrain,0.057,20.947,0.099,130,nan
NewLearningBrain,0.055,21.018,0.015,130,nan
NewLearningBrain,0.079,21.206,0.095,195,nan
NewLearningBrain,0.054,21.377,0.106,130,nan
NewLearningBrain,0.054,21.523,0.085,130,nan
NewLearningBrain,0.055,21.596,0.016,130,nan
NewLearningBrain,0.046,21.756,0.098,115,-2.000
NewLearningBrain,0.055,21.896,0.073,130,nan
NewLearningBrain,0.055,22.026,0.064,130,nan
NewLearningBrain,0.054,22.160,0.070,130,nan
NewLearningBrain,0.053,22.251,0.037,130,nan
NewLearningBrain,0.055,22.386,0.069,130,nan
NewLearningBrain,0.049,22.525,0.076,112,2.070
NewLearningBrain,0.048,22.648,0.062,113,-5.620
NewLearningBrain,0.044,22.776,0.073,105,3.300
NewLearningBrain,0.053,22.861,0.026,129,0.290
NewLearningBrain,0.056,23.030,0.097,130,nan
NewLearningBrain,0.060,23.206,0.101,130,nan
NewLearningBrain,0.058,23.347,0.073,130,nan
NewLearningBrain,0.057,23.432,0.024,130,nan
NewLearningBrain,0.053,23.572,0.075,130,nan
NewLearningBrain,0.054,23.710,0.071,130,nan
NewLearningBrain,0.055,23.840,0.065,130,nan
NewLearningBrain,0.064,23.999,0.085,155,-5.200
NewLearningBrain,0.054,24.093,0.035,130,nan
NewLearningBrain,0.056,24.259,0.096,130,nan
NewLearningBrain,0.055,24.425,0.095,134,-1.905
NewLearningBrain,0.055,24.560,0.067,130,nan
NewLearningBrain,0.055,24.644,0.026,130,nan
NewLearningBrain,0.056,24.804,0.091,130,nan
NewLearningBrain,0.055,24.999,0.121,136,-3.440
NewLearningBrain,0.055,25.135,0.070,130,nan
NewLearningBrain,0.056,25.208,0.014,130,nan
NewLearningBrain,0.055,25.301,0.032,130,nan
NewLearningBrain,0.079,25.550,0.144,165,1.950
NewLearningBrain,0.064,25.769,0.130,130,nan
NewLearningBrain,0.053,25.840,0.016,130,nan
NewLearningBrain,0.050,25.928,0.032,130,nan
NewLearningBrain,0.065,26.097,0.085,159,1.240
NewLearningBrain,0.055,26.269,0.099,130,nan
NewLearningBrain,0.057,26.426,0.090,130,nan
NewLearningBrain,0.055,26.520,0.036,133,4.230
NewLearningBrain,0.046,26.650,0.075,118,1.480
NewLearningBrain,0.064,26.737,0.020,155,6.400
NewLearningBrain,0.043,26.895,0.098,105,3.300
NewLearningBrain,0.066,27.096,0.117,165,1.300
NewLearningBrain,0.055,27.240,0.077,130,nan
NewLearningBrain,0.056,27.314,0.017,130,nan
NewLearningBrain,0.060,27.490,0.097,146,1.110
NewLearningBrain,0.094,27.706,0.103,209,2.390
NewLearningBrain,0.055,27.871,0.095,130,nan
NewLearningBrain,0.051,27.971,0.040,130,nan
NewLearningBrain,0.066,28.181,0.127,166,1.310
NewLearningBrain,0.080,28.311,0.041,195,nan
NewLearningBrain,0.054,28.470,0.087,130,nan
NewLearningBrain,0.059,28.601,0.059,130,nan
NewLearningBrain,0.083,28.829,0.127,195,nan
NewLearningBrain,0.051,28.921,0.033,130,nan
NewLearningBrain,0.054,29.075,0.084,137,1.670
NewLearningBrain,0.052,29.195,0.058,130,nan
NewLearningBrain,0.078,29.477,0.125,195,nan
NewLearningBrain,0.055,29.615,0.076,130,nan
NewLearningBrain,0.051,29.726,0.048,125,2.200
NewLearningBrain,0.055,29.851,0.060,130,nan
NewLearningBrain,0.075,30.057,0.109,186,2.160
NewLearningBrain,0.055,30.210,0.087,130,nan
NewLearningBrain,0.054,30.323,0.052,130,nan
NewLearningBrain,0.054,30.444,0.057,130,nan
NewLearningBrain,0.079,30.643,0.099,195,nan
NewLearningBrain,0.052,30.769,0.065,130,nan
NewLearningBrain,0.062,30.890,0.050,130,nan
NewLearningBrain,0.061,31.040,0.078,130,nan
NewLearningBrain,0.044,31.172,0.078,107,2.020
NewLearningBrain,0.054,31.314,0.075,130,nan
NewLearningBrain,0.054,31.436,0.062,130,nan
NewLearningBrain,0.056,31.572,0.067,130,nan
NewLearningBrain,0.054,31.666,0.033,130,nan
NewLearningBrain,0.043,31.798,0.078,106,-6.990
NewLearningBrain,0.054,31.936,0.070,130,nan
NewLearningBrain,0.055,32.092,0.086,130,nan
NewLearningBrain,0.054,32.210,0.052,132,-2.515
NewLearningBrain,0.054,32.287,0.020,130,nan
NewLearningBrain,0.051,32.418,0.068,123,3.515
NewLearningBrain,0.048,32.586,0.106,118,-1.335
NewLearningBrain,0.081,32.819,0.131,195,nan
NewLearningBrain,0.055,32.928,0.045,130,nan
NewLearningBrain,0.060,33.032,0.036,141,-7.940
NewLearningBrain,0.064,33.202,0.094,151,-3.290
NewLearningBrain,0.054,33.412,0.132,130,nan
NewLearningBrain,0.056,33.547,0.067,130,nan
NewLearningBrain,0.056,33.621,0.015,133,-0.320
NewLearningBrain,0.056,33.736,0.050,130,nan
NewLearningBrain,0.058,33.966,0.144,130,nan
NewLearningBrain,0.057,34.106,0.072,130,nan
NewLearningBrain,0.057,34.207,0.038,130,nan
NewLearningBrain,0.050,34.280,0.019,130,nan
NewLearningBrain,0.054,34.419,0.072,130,nan
NewLearningBrain,0.054,34.613,0.123,130,nan
NewLearningBrain,0.079,34.788,0.082,199,-7.360
NewLearningBrain,0.055,34.881,0.036,130,nan
NewLearningBrain,0.054,35.020,0.074,130,nan
NewLearningBrain,0.062,35.250,0.141,151,1.810
NewLearningBrain,0.079,35.400,0.061,195,nan
NewLearningBrain,0.054,35.478,0.021,130,nan
NewLearningBrain,0.048,35.624,0.089,117,-1.990
NewLearningBrain,0.044,35.752,0.071,101,3.260
NewLearningBrain,0.055,35.943,0.115,130,nan
NewLearningBrain,0.054,36.019,0.020,130,nan
NewLearningBrain,0.055,36.133,0.054,130,nan
NewLearningBrain,0.060,36.290,0.085,130,nan
NewLearningBrain,0.059,36.462,0.096,130,nan
NewLearningBrain,0.055,36.591,0.064,130,nan
NewLearningBrain,0.053,36.687,0.037,130,nan
NewLearningBrain,0.053,36.798,0.051,130,nan
NewLearningBrain,0.054,36.941,0.078,130,nan
NewLearningBrain,0.053,37.155,0.141,130,nan
NewLearningBrain,0.054,37.233,0.019,130,nan
NewLearningBrain,0.056,37.354,0.054,130,nan
NewLearningBrain,0.055,37.497,0.077,136,-4.740
NewLearningBrain,0.043,37.572,0.027,104,-4.410
NewLearningBrain,0.056,37.774,0.123,130,nan
NewLearningBrain,0.055,37.874,0.039,133,-5.420
NewLearningBrain,0.054,38.038,0.095,130,nan
NewLearningBrain,0.054,38.146,0.046,130,nan
NewLearningBrain,0.043,38.222,0.029,104,-4.410
NewLearningBrain,0.055,38.418,0.121,130,nan
NewLearningBrain,0.055,38.532,0.051,130,nan
NewLearningBrain,0.057,38.758,0.097,130,nan
NewLearningBrain,0.054,38.850,0.036,130,nan
NewLearningBrain,0.055,38.968,0.060,130,nan
NewLearningBrain,0.047,39.110,0.087,110,-3.650
NewLearningBrain,0.042,39.175,0.019,105,-5.700
NewLearningBrain,0.067,39.389,0.124,159,-5.160
NewLearningBrain,0.057,39.483,0.033,130,nan
NewLearningBrain,0.052,39.684,0.131,130,nan
NewLearningBrain,0.054,39.763,0.021,130,nan
NewLearningBrain,0.042,39.850,0.038,108,-5.670
NewLearningBrain,0.063,40.034,0.102,152,3.770
NewLearningBrain,0.056,40.211,0.107,130,nan
NewLearningBrain,0.054,40.344,0.074,130,nan
NewLearningBrain,0.048,40.431,0.035,116,2.110
NewLearningBrain,0.054,40.570,0.069,130,nan
NewLearningBrain,0.055,40.689,0.058,130,nan
NewLearningBrain,0.052,40.871,0.112,136,1.660
NewLearningBrain,0.051,40.966,0.037,130,nan
NewLearningBrain,0.054,41.036,0.014,130,nan
NewLearningBrain,0.054,41.217,0.111,130,nan
NewLearningBrain,0.055,41.395,0.106,130,nan
NewLearningBrain,0.057,41.510,0.053,130,nan
NewLearningBrain,0.064,41.613,0.035,130,nan
NewLearningBrain,0.060,41.757,0.076,130,nan
NewLearningBrain,0.069,41.944,0.105,163,3.230
NewLearningBrain,0.054,42.117,0.101,130,nan
NewLearningBrain,0.054,42.209,0.033,130,nan
NewLearningBrain,0.050,42.337,0.066,121,4.110
NewLearningBrain,0.061,42.442,0.036,159,2.540
NewLearningBrain,0.047,42.622,0.110,110,2.700
NewLearningBrain,0.055,42.771,0.079,130,nan
NewLearningBrain,0.081,42.946,0.079,195,nan
NewLearningBrain,0.054,43.038,0.031,130,nan
NewLearningBrain,0.080,43.244,0.106,195,nan
NewLearningBrain,0.056,43.409,0.095,130,nan
NewLearningBrain,0.054,43.547,0.073,130,nan
NewLearningBrain,0.054,43.641,0.036,130,nan
NewLearningBrain,0.046,43.751,0.053,116,4.060
NewLearningBrain,0.046,43.893,0.081,118,3.430
NewLearningBrain,0.079,44.133,0.140,195,nan
NewLearningBrain,0.055,44.234,0.040,130,2.575
NewLearningBrain,0.055,44.353,0.056,130,nan
NewLearningBrain,0.054,44.505,0.083,130,nan
NewLearningBrain,0.058,44.702,0.119,130,nan
NewLearningBrain,0.079,44.819,0.032,195,nan
NewLearningBrain,0.053,44.948,0.067,130,nan
NewLearningBrain,0.054,45.101,0.087,130,nan
NewLearningBrain,0.054,45.296,0.119,130,4.200
NewLearningBrain,0.084,45.421,0.036,195,nan
NewLearningBrain,0.053,45.537,0.050,130,nan
NewLearningBrain,0.056,45.707,0.098,130,nan
NewLearningBrain,0.048,45.815,0.051,114,2.740
NewLearningBrain,0.046,45.956,0.080,113,-4.320
NewLearningBrain,0.055,46.039,0.023,130,nan
NewLearningBrain,0.063,46.227,0.105,155,1.200
NewLearningBrain,0.056,46.361,0.067,130,nan
NewLearningBrain,0.053,46.523,0.096,130,nan
NewLearningBrain,0.054,46.600,0.020,130,nan
NewLearningBrain,0.054,46.765,0.096,130,nan
NewLearningBrain,0.050,46.838,0.020,124,2.190
NewLearningBrain,0.042,46.966,0.074,103,1.980
NewLearningBrain,0.061,47.152,0.108,130,nan
NewLearningBrain,0.070,47.318,0.084,130,nan
NewLearningBrain,0.058,47.459,0.072,130,nan
NewLearningBrain,0.054,47.590,0.067,130,nan
NewLearningBrain,0.054,47.668,0.021,130,nan
NewLearningBrain,0.055,47.841,0.102,130,nan
NewLearningBrain,0.078,48.100,0.109,192,-4.180
NewLearningBrain,0.064,48.266,0.088,156,-3.890
NewLearningBrain,0.056,48.345,0.022,130,nan
